Nombre,Correo,Edad,Registro,Correo Válido,Registro Válido
Joseph Holt,ejenkins@example.net,24.0,2021-05-14,True,True
Joel Calderon,melissa62@example.org,50.0,2020-08-11,True,True
Miguel French,bradleyshannon@example.org,64.0,2021-08-15,True,True
Melissa Cobb,ashleyclayton@example.net,62.0,2022-10-16,True,True
Andrea Martin,donnamendoza@example.net,30.0,2022-04-01,True,True
Joshua Booker,jacoblloyd@example.com,80.0,2020-12-07,True,True
Theresa Robinson,barrerarichard@example.com,64.0,2020-07-22,True,True
Eric Williams,kellyperry@example.com,22.0,2024-09-09,True,True
Barbara Sullivan,mclaughlinlynn@example.org,67.0,2020-02-10,True,True
Emily Carlson,ecarter@example.org,68.0,2024-07-03,True,True
Scott Foster,christopher17@example.net,20.0,2020-01-23,True,True
Amber Levy,tamaramurillo@example.org,76.0,2024-09-28,True,True
Stuart Williams,caldwellcrystal@example.org,53.0,2021-05-09,True,True
Chelsea Hernandez,daniel72@example.org,67.0,2024-05-15,True,True
Michelle Richmond,wtorres@example.org,39.0,2022-06-15,True,True
Alexa Roberson,brandon30@example.net,76.0,2024-10-15,True,True
Yolanda Anthony,hartmanjames@example.net,76.0,2022-10-18,True,True
Valerie Estrada,matthewparks@example.com,62.0,fecha_inválida,True,False
Scott Smith,whiteheadveronica@example.com,75.0,2021-01-27,True,True
Mark Baxter,ngomez@example.com,38.0,2022-03-09,True,True
Arthur Torres,briannamontgomery@example.com,23.0,2022-02-11,True,True
David Moore,kevin98@example.org,28.0,2023-02-01,True,True
Joel Brock,nicolebeck@example.org,53.0,2022-08-13,True,True
Ann Brown,courtney78@example.com,77.0,2023-12-26,True,True
Dustin Martin,ryan37@example.net,27.0,2024-10-19,True,True
Brenda Patrick,rthornton@example.org,22.0,2022-04-21,True,True
Carrie Johnson,nancy55@example.org,50.0,2022-07-20,True,True
Joseph Benjamin,combssamantha@example.net,79.0,2024-12-23,True,True
Michael Haney,mary06@example.com,30.0,2023-08-20,True,True
Kara Welch,garrett34@example.org,21.0,2022-07-24,True,True
Christine Sanders,michaelsimmons@example.org,37.0,2022-08-27,True,True
Maxwell Mooney,ryannash@example.com,75.0,2020-03-20,True,True
Tiffany Harmon,joanne89@example.com,41.0,2020-06-07,True,True
Lucas Pugh,jameswilliams@example.net,65.0,fecha_inválida,True,False
Edward Kelley,washingtonalexander@example.net,25.0,2024-10-22,True,True
Daniel Smith,james39@example.net,30.0,2020-02-22,True,True
Jeffery Thompson,david86@example.net,71.0,2024-08-05,True,True
Judy Coleman,leejoseph@example.net,30.0,2024-01-14,True,True
Peter Owen,andrewyoung@example.net,57.0,2023-12-11,True,True
Kari Johnson,pschwartz@example.org,62.0,2020-04-30,True,True
Kevin Garrett,lauramiller@example.net,55.0,2022-04-16,True,True
Kristi Hudson,valerie63@example.org,30.0,2021-10-24,True,True
Terry Cobb,emily52@example.org,77.0,2024-01-27,True,True
Jonathan Tate,manuelevans@example.net,31.0,2021-09-04,True,True
Ryan Carlson,graymatthew@example.org,75.0,2021-05-29,True,True
Barbara Mason,isaiah28@example.com,37.0,2022-10-14,True,True
Jessica Reed,wjackson@example.net,29.0,2024-02-01,True,True
Daniel Liu,jacobduncan@example.org,50.0,2021-09-16,True,True
Gina Mccormick,xlucas@example.org,42.0,2024-02-04,True,True
Scott Carson Dvm,jennifer48@example.org,64.0,2020-07-03,True,True
Tracy Mills,warnerbethany@example.org,37.0,2020-04-18,True,True
Allen Hayes,peckjennifer@example.net,43.0,2021-04-19,True,True
Melanie Palmer,shaun29@example.org,39.0,2023-09-29,True,True
Lisa Anthony,catherinerichards@example.org,59.0,2023-05-06,True,True
Jeff Holmes,tommybaker@example.com,19.0,2021-12-16,True,True
Benjamin Johnson,ngonzalez@example.net,38.0,2023-03-19,True,True
Mark Mccullough Dds,laurenkline@example.net,39.0,2024-10-18,True,True
Sandra Harris,atorres@example.net,37.0,2024-04-11,True,True
Kenneth Lopez,ylong@example.com,26.0,2024-10-21,True,True
Becky Jones,howellbenjamin@example.org,30.0,2021-06-06,True,True
Dana Davis,stevenrice@example.org,21.0,2023-05-24,True,True
John Schwartz,lindsey96@example.org,23.0,2022-12-21,True,True
Kevin Hines,anthony32@example.net,26.0,2024-09-09,True,True
Chad Alvarez,robert72@example.org,30.0,2021-10-23,True,True
Michael Mercado,sabrinarodriguez@example.net,62.0,2022-12-26,True,True
Kara Roberts,noblegregory@example.org,48.0,2020-11-01,True,True
Matthew Cox,robertdavis@example.net,26.0,fecha_inválida,True,False
Michael Griffith,monica15@example.org,57.0,2022-04-17,True,True
Beth Ball,carterjustin@example.net,30.0,2022-01-15,True,True
Patrick Melendez,oburgess@example.org,74.0,2024-11-28,True,True
Stephanie Kelly,tyler65@example.net,30.0,2020-04-16,True,True
Susan Smith,moorematthew@example.com,30.0,2024-09-25,True,True
Brian Roberts,acowan@example.com,54.0,2024-09-23,True,True
Jennifer Ryan,lisamitchell@example.net,32.0,2023-12-23,True,True
Jennifer Herman,ellisoncharles@example.net,61.0,2022-03-21,True,True
Melissa Horn,glasssandy@example.com,61.0,2020-01-02,True,True
Michael Andrews,randrews@example.com,66.0,fecha_inválida,True,False
Daisy Johnson,wlawrence@example.com,54.0,2022-10-22,True,True
Cynthia Campos,xmartin@example.com,36.0,2022-10-24,True,True
Shane Olsen,ortegavanessa@example.org,66.0,2024-06-25,True,True
Ashley Parsons,thomaspotts@example.org,56.0,2020-07-30,True,True
David Ruiz,cbrown@example.org,30.0,2024-12-02,True,True
Jonathan Mckinney Dvm,gerald56@example.net,80.0,2023-01-08,True,True
Ricky Thomas,yshaw@example.com,21.0,2020-02-27,True,True
Gregory Lawson,michellebradley@example.com,25.0,2020-12-18,True,True
James Farley,robert59@example.org,47.0,fecha_inválida,True,False
Susan Shields,mathewsmaria@example.org,56.0,2022-02-18,True,True
Aaron Peterson,glane@example.org,30.0,2020-07-07,True,True
Robert Gonzalez,wonglisa@example.net,74.0,2020-04-20,True,True
David Zamora,hernandezstephanie@example.net,70.0,2023-10-12,True,True
Brandi Gomez,scottwheeler@example.com,51.0,2021-07-24,True,True
Jo Smith,poolejoseph@example.com,46.0,2020-05-24,True,True
Brian Torres,russelljacobs@example.org,78.0,2023-09-22,True,True
Caleb Smith,mcguiremary@example.org,39.0,2023-05-29,True,True
David Kent,gdunn@example.net,22.0,2020-03-16,True,True
Marcus Turner,fosterjoshua@example.net,57.0,2022-03-04,True,True
Jennifer Smith,ncochran@example.org,53.0,2022-05-06,True,True
Arthur Preston,ricky95@example.com,78.0,2024-01-10,True,True
Andrew Washington,alicia28@example.org,44.0,2022-10-21,True,True
Anna Campos,ygreen@example.org,34.0,2022-02-03,True,True
Lisa Carter,mmorgan@example.com,52.0,2020-07-28,True,True
Kristen Conway,longbeth@example.org,76.0,2021-03-25,True,True
Mrs. Allison Hill,blevinschristopher@example.com,34.0,2021-09-16,True,True
Michelle Cortez,rlewis@example.com,30.0,2020-04-19,True,True
Kimberly Giles,kelsey31@example.com,30.0,fecha_inválida,True,False
Joshua Mcdonald,cathy57@example.com,56.0,2020-09-18,True,True
Allison Aguilar,julia37@example.com,66.0,2024-07-09,True,True
Megan Lee,barretterik@example.net,50.0,2022-01-09,True,True
Darrell Hernandez,anthonyfowler@example.org,72.0,fecha_inválida,True,False
Terri Velazquez,cooperangela@example.org,62.0,2020-03-26,True,True
Thomas Weiss,elee@example.org,45.0,2020-11-27,True,True
Joseph Adams,paulhouston@example.net,42.0,2022-05-24,True,True
Nicholas Martin,rthomas@example.net,42.0,2022-03-09,True,True
Dawn Hart,barbara42@example.com,30.0,2020-12-28,True,True
Ryan Johnson,robert33@example.org,29.0,fecha_inválida,True,False
Tanya Mcintosh,calderonkeith@example.com,63.0,2022-12-23,True,True
Raymond Gray,jessicakhan@example.org,74.0,2023-01-13,True,True
Shawn James,mitchellwood@example.org,61.0,2020-05-13,True,True
David Massey,shawn50@example.org,43.0,2020-04-02,True,True
Kevin Torres,pchung@example.com,43.0,2020-10-30,True,True
Caleb Roberts,williamskelsey@example.org,41.0,2020-07-01,True,True
Thomas Woods,rachelcampbell@example.com,79.0,2024-06-13,True,True
Sean Munoz,hunterbonnie@example.com,70.0,2022-10-01,True,True
Cynthia Lynn,robertdecker@example.com,61.0,2023-02-18,True,True
Robert Kemp,rebekahlewis@example.org,69.0,2021-01-03,True,True
Caroline Shaw,elijahrobinson@example.org,31.0,2024-10-17,True,True
Taylor Munoz,gcallahan@example.com,62.0,2021-10-13,True,True
Nicole Palmer,leejonathan@example.net,44.0,2023-02-21,True,True
Ryan Fox,darren49@example.org,42.0,2024-06-07,True,True
John Porter,tammy26@example.com,52.0,2021-02-10,True,True
Glenn Bauer,sophia66@example.net,65.0,2020-01-21,True,True
Theresa Kelly,otucker@example.org,30.0,2024-11-24,True,True
Pamela Boyd,latoya81@example.org,57.0,2022-04-12,True,True
Mary Goodwin,vickie18@example.net,54.0,2022-12-23,True,True
John Bradley,carlos82@example.net,23.0,2023-08-12,True,True
David Jones,ferrelljames@example.com,29.0,2023-01-18,True,True
Candace Smith,obriggs@example.com,58.0,fecha_inválida,True,False
Mikayla Hicks,droman@example.org,80.0,2020-11-15,True,True
Chad Perez,stephaniehoward@example.net,34.0,2023-04-09,True,True
Matthew Nguyen,kimberlynolan@example.org,58.0,2024-10-30,True,True
Jane Allen,nunezkari@example.net,40.0,2024-01-26,True,True
Anthony Freeman,pam39@example.org,77.0,2024-12-16,True,True
Cody Stewart,ballison@example.net,29.0,2022-12-14,True,True
Christopher Mendoza,taylor90@example.net,55.0,2021-08-14,True,True
Katherine Lowery,brandoncalhoun@example.com,64.0,2024-02-28,True,True
Mark Shah,hannahboyd@example.net,27.0,2024-01-18,True,True
Jeffrey Miller,olsonsonia@example.com,22.0,2022-05-08,True,True
Lauren Miller,lindacisneros@example.net,71.0,2021-01-24,True,True
Cody Ramirez,michaelharris@example.net,27.0,2024-11-10,True,True
Rodney Griffin,briannaholmes@example.org,51.0,2023-10-16,True,True
Eduardo Dunn,katherine11@example.com,56.0,2023-03-03,True,True
Michael Benson,danielthompson@example.org,28.0,2021-10-30,True,True
Melanie Vasquez,briannayu@example.com,67.0,2022-10-01,True,True
Amanda Hayes,burkejoseph@example.net,54.0,2022-05-12,True,True
Alexander Sanchez,lukehernandez@example.org,30.0,2024-10-04,True,True
Jacqueline Chang,heathermurphy@example.net,26.0,2024-06-05,True,True
William Tran,jason13@example.net,60.0,2021-12-09,True,True
Patrick King,tinaflores@example.net,59.0,2020-09-11,True,True
Jordan Burgess,jonesdanielle@example.com,44.0,2021-11-08,True,True
Amanda Lewis,wesleyjames@example.org,58.0,2023-08-28,True,True
Meghan Hernandez,amandakim@example.org,31.0,2023-10-13,True,True
Steven Morgan,zcervantes@example.net,30.0,2022-10-08,True,True
Robin Blake,warnertodd@example.net,20.0,2021-05-05,True,True
Gabrielle Adkins,mbrown@example.net,78.0,2023-08-03,True,True
James Aguilar,rachel06@example.net,64.0,2023-07-18,True,True
Michele Wood,shannonhernandez@example.net,34.0,2024-12-08,True,True
Olivia Lee,larry36@example.org,55.0,2020-06-01,True,True
Gary Ortega,mharrison@example.org,47.0,2023-03-21,True,True
Pamela Reid,burnsbeth@example.org,21.0,fecha_inválida,True,False
Sandra Mueller,ekeller@example.com,30.0,2022-04-14,True,True
Anthony Shaw,rebecca56@example.net,28.0,2020-08-07,True,True
Nicholas Martin,patrickmiller@example.net,22.0,2021-07-10,True,True
Kirsten Wolf,erin59@example.net,21.0,2021-09-24,True,True
Dakota Ellis,kristinepatton@example.com,30.0,2024-11-07,True,True
Virginia Green,davischad@example.com,62.0,2023-08-28,True,True
George Brown,morseaaron@example.com,73.0,2024-05-22,True,True
Amy Davis,tracyherring@example.net,34.0,2022-05-09,True,True
Rachel Hernandez,james79@example.org,26.0,fecha_inválida,True,False
Kristina Hicks,angelajordan@example.net,30.0,fecha_inválida,True,False
Charles Mills,barneshenry@example.org,43.0,2022-09-03,True,True
George Chapman,rodriguezkimberly@example.net,75.0,2022-12-09,True,True
Mike Hopkins,simonleah@example.com,58.0,2020-09-24,True,True
Beverly Higgins,josephjohnson@example.net,21.0,2023-03-30,True,True
Ashley Choi,joshua27@example.org,47.0,2020-12-29,True,True
David Contreras,wlopez@example.com,69.0,2021-01-31,True,True
Jessica Keller,johnnybarnes@example.net,30.0,2020-07-20,True,True
Ronald Sanders,stacy20@example.net,75.0,2022-01-31,True,True
Erin Phillips,anthony02@example.com,33.0,2023-11-02,True,True
Matthew Taylor,moodykyle@example.org,59.0,2022-05-12,True,True
Mary Pierce,stevenhodge@example.net,32.0,2024-03-02,True,True
Patrick Ward,rogerspamela@example.com,45.0,2022-07-19,True,True
Danielle Thomas,william35@example.org,57.0,2021-02-16,True,True
Erika Burgess,john93@example.net,56.0,2021-12-12,True,True
Marie Robinson,xyoung@example.net,30.0,2023-03-24,True,True
Jason Griffin,edwinmichael@example.net,67.0,2020-04-11,True,True
Lisa Wong,thompsonmatthew@example.net,30.0,2021-06-05,True,True
Ryan Sandoval,sandersangela@example.org,35.0,2024-06-21,True,True
Molly Robles,scottcoleman@example.org,47.0,2021-04-30,True,True
Brenda Sawyer,richardmiles@example.net,31.0,2022-07-22,True,True
Regina Mccarthy,doughertysean@example.com,30.0,2022-10-09,True,True
Charles Salazar,whitneythomas@example.net,61.0,2022-07-29,True,True
David Gardner,nthompson@example.com,73.0,2024-02-13,True,True
Barbara Collins,shenry@example.org,38.0,fecha_inválida,True,False
Steven Welch,christopher18@example.com,30.0,2022-07-11,True,True
Summer Miller,amy92@example.org,38.0,2021-02-04,True,True
Ashley Jensen,obrown@example.com,37.0,2021-03-25,True,True
Carly Martinez,barronjoseph@example.net,47.0,2022-04-11,True,True
Ariana Stevenson,thomas61@example.net,27.0,2022-08-23,True,True
Andrea Miller,cfisher@example.com,70.0,2020-05-02,True,True
Luis Woodard,sean67@example.org,18.0,2023-11-15,True,True
Rebekah Golden,castanedabrett@example.org,64.0,2021-08-21,True,True
Jason Tate,sanchezdonald@example.net,64.0,2024-02-05,True,True
Victoria Juarez,foleybrett@example.org,30.0,2021-02-03,True,True
John Munoz,bcase@example.net,56.0,2021-11-05,True,True
George Allen,jamesmacias@example.net,19.0,2021-03-29,True,True
Jason Anderson,uhaynes@example.com,18.0,2022-04-10,True,True
Shannon Allen,taylormichael@example.org,44.0,fecha_inválida,True,False
Misty Baker,pennymay@example.com,47.0,2021-08-29,True,True
Amber Potter,bruceandrea@example.com,64.0,2022-07-24,True,True
Dillon Johnson,anthony64@example.org,24.0,2022-02-24,True,True
Nicole Salas,ericapearson@example.com,31.0,2023-06-23,True,True
Victor Medina,shelly58@example.org,52.0,2024-10-24,True,True
Diane Blackwell,olopez@example.org,26.0,2021-04-26,True,True
David Martin,hamptondavid@example.com,26.0,2020-04-21,True,True
Amanda Dixon,jasonphillips@example.net,71.0,2024-01-05,True,True
Amy Peterson,daniel63@example.com,47.0,2020-09-12,True,True
Scott Zhang,katherine51@example.com,37.0,2022-03-16,True,True
Matthew Spencer,bwarren@example.net,45.0,2021-04-26,True,True
Raymond Salazar,petergordon@example.org,30.0,2022-10-15,True,True
Pamela Scott,gcox@example.com,20.0,2021-08-28,True,True
Laura Tran,vrice@example.org,44.0,2023-05-12,True,True
Megan Webb,jonescindy@example.org,68.0,2022-12-19,True,True
Allen Bell,scox@example.net,52.0,2024-03-23,True,True
Margaret Hill,migueljordan@example.net,30.0,2023-08-17,True,True
Michael Goodman,levyemily@example.org,42.0,2020-01-08,True,True
Eugene Hoffman,hbranch@example.org,47.0,2022-10-18,True,True
Alex Smith,foxwayne@example.org,20.0,2020-12-24,True,True
Catherine Kline,sjennings@example.net,18.0,2021-07-13,True,True
Sandra Frost Dvm,vincentdyer@example.com,27.0,fecha_inválida,True,False
Jose Smith,marymoore@example.org,51.0,2024-11-10,True,True
Laura Palmer,lamwilliam@example.org,25.0,2020-02-12,True,True
Richard Palmer,bakerdiana@example.org,56.0,2024-01-04,True,True
Danielle Williams,dillonrichard@example.org,77.0,2020-01-25,True,True
William Evans,buckmitchell@example.org,71.0,2021-08-09,True,True
Nicholas Howard,shannon17@example.net,80.0,2021-12-13,True,True
Joseph Thomas,matthew65@example.org,37.0,2020-07-19,True,True
Cynthia Vega,kwilson@example.com,42.0,2022-10-28,True,True
Ashley Jones,brendamiller@example.net,49.0,2020-07-25,True,True
Laura Richard,christopher11@example.net,68.0,2023-12-09,True,True
Brenda Warren,cynthia25@example.net,79.0,2024-09-30,True,True
Michele Erickson,zchan@example.com,23.0,2020-08-29,True,True
Tracy Smith,adrianjoseph@example.org,22.0,2020-04-14,True,True
Edward Riley,toddmartin@example.com,28.0,2024-08-20,True,True
Hannah Rogers,iwalker@example.com,33.0,2023-11-09,True,True
Raymond Silva,thomas86@example.org,38.0,2024-05-30,True,True
Ray Cruz,kennetharmstrong@example.com,66.0,2020-03-20,True,True
Mr. Kevin Friedman,moonrobert@example.net,32.0,2021-02-15,True,True
Ashley Everett,nhaynes@example.org,34.0,2020-12-03,True,True
Tyler May,vbarber@example.com,31.0,2023-01-20,True,True
Charles Atkins,nicoletanner@example.net,29.0,2023-01-17,True,True
Krista Myers,ucook@example.org,34.0,2024-04-10,True,True
Kirk Martinez,lauramiller@example.net,51.0,2024-05-15,True,True
Karen Swanson,evazquez@example.org,63.0,2021-06-06,True,True
Martha Riley,itucker@example.net,59.0,2022-06-18,True,True
Leslie Schwartz,byrdbrittany@example.com,29.0,2022-12-21,True,True
Tina Cook,lflores@example.net,30.0,2021-03-09,True,True
Ashley Villa,samuel04@example.com,33.0,2023-07-12,True,True
Jessica Wright,christopherchang@example.net,67.0,2023-01-24,True,True
Joseph Davis,alexander50@example.com,77.0,2023-01-20,True,True
Regina Anderson,castrotamara@example.org,50.0,2020-11-07,True,True
Joan Pena,jenniferjones@example.com,23.0,2022-01-14,True,True
Jose Chung,amberterry@example.com,38.0,2022-04-13,True,True
Jeremy James,bradfordfred@example.net,43.0,2021-01-01,True,True
Edwin Thomas,terrykristen@example.net,27.0,2024-06-28,True,True
John Cummings,goldenmelanie@example.net,23.0,2023-01-21,True,True
Jennifer Simmons,craig64@example.com,30.0,2022-01-01,True,True
David Martin,bbest@example.com,26.0,2023-02-18,True,True
Sarah Flowers,qcooley@example.org,23.0,2021-07-03,True,True
Monica Lamb,smithjustin@example.net,19.0,2020-03-11,True,True
Shannon Wade,hgutierrez@example.org,75.0,2021-06-28,True,True
Jonathan Paul,karengonzalez@example.net,26.0,2023-08-15,True,True
Jenny Parker,qmills@example.com,29.0,2023-01-16,True,True
Monica Cox,erika36@example.com,61.0,2024-04-07,True,True
Joe Baldwin,lisa80@example.net,72.0,fecha_inválida,True,False
Jody French,cburch@example.net,73.0,2023-08-19,True,True
Samuel Austin,johncopeland@example.net,45.0,2024-02-12,True,True
Dylan Brown,sjohnston@example.net,62.0,2021-05-16,True,True
Rachel Gibson,joyluna@example.org,79.0,2023-08-12,True,True
Robin Bradley,benitezbrenda@example.org,69.0,2021-01-07,True,True
Allison Rivas,michellejohnson@example.net,63.0,2023-12-11,True,True
Eric Whitaker,mark29@example.com,44.0,2021-08-23,True,True
Megan Mays,mary87@example.net,22.0,2021-11-19,True,True
Tonya Gillespie,dowens@example.org,32.0,2022-05-26,True,True
Thomas Craig,xward@example.org,30.0,2021-02-04,True,True
Shane Carter,sara17@example.net,18.0,2024-02-04,True,True
Christina Ramirez,jennifer00@example.com,30.0,2023-06-16,True,True
Jason Bennett,jonesbrandon@example.com,79.0,2022-01-17,True,True
Mary Burns,john64@example.com,25.0,2024-09-27,True,True
Edward Griffin,savagedonna@example.net,75.0,2023-01-23,True,True
Mrs. Ruth Black,nicholasgreen@example.net,60.0,2024-06-30,True,True
Melissa Wilson,jason31@example.org,65.0,2020-11-21,True,True
Elizabeth Valencia,rwilliams@example.org,60.0,2022-04-03,True,True
Mason Clark,josephcampbell@example.net,55.0,2024-12-19,True,True
Derek Mercado,julie15@example.net,56.0,2022-06-03,True,True
Darryl Meza,guerrarachel@example.org,59.0,2022-04-26,True,True
Pamela Kirby,tabitha40@example.org,61.0,2020-02-24,True,True
Monica Rivers,ashleyhaley@example.org,58.0,2024-11-14,True,True
Monique Bennett,morgan81@example.com,21.0,2024-03-18,True,True
Donald Williams,ejohnson@example.net,52.0,2021-06-05,True,True
Andrea Adams,schwartzpatrick@example.com,78.0,2021-07-09,True,True
William Gay,brenda91@example.net,72.0,fecha_inválida,True,False
